x,y,v,kappa,s
-13.727,5.254,6.494,-0.02,19.598
-13.727,5.354,6.401,-0.02,19.698
-13.726,5.454,6.307,-0.01,19.798
-13.725,5.554,6.211,-0.01,19.898
-13.724,5.654,6.113,-0.02,19.998
-13.722,5.754,6.015,-0.0001,20.098
-13.721,5.854,5.914,0.0001,20.198
-13.72,5.954,5.812,0.0,20.298
-13.718,6.054,5.707,0.01,20.398
-13.717,6.154,5.601,0.02,20.498
-13.716,6.254,5.493,0.01,20.598
-13.715,6.354,5.383,0.04,20.698
-13.715,6.454,5.27,0.02,20.798
-13.715,6.554,5.155,0.04,20.898
-13.715,6.654,5.037,0.04,20.998
-13.715,6.754,4.917,0.04,21.098
-13.716,6.854,4.793,0.05,21.198
-13.718,6.954,4.666,0.05,21.298
-13.719,7.054,4.536,0.0502,21.398
-13.722,7.154,4.402,0.0697,21.498
-13.725,7.254,4.263,0.0503,21.598
-13.728,7.353,4.12,0.07,21.698
-13.733,7.453,3.972,0.0699,21.798
-13.738,7.553,3.818,0.0599,21.898
-13.743,7.653,3.657,0.0205,21.998
-13.749,7.753,3.489,-0.0904,22.098
-13.754,7.853,3.313,-0.1599,22.198
-13.757,7.953,3.127,-0.3103,22.298
-13.758,8.053,2.928,-0.4501,22.398
-13.753,8.153,2.716,-0.662,22.498
-13.742,8.252,2.485,-1.0372,22.598
-13.721,8.35,2.231,-1.5482,22.698
-13.685,8.443,1.944,-2.3366,22.798
-13.629,8.525,1.76,-2.8497,22.898
-13.552,8.588,1.93,-2.3701,22.997
-13.462,8.631,2.219,-1.6466,23.097
-13.366,8.659,2.474,-1.1191,23.197
-13.267,8.676,2.706,-0.7274,23.297
-13.168,8.686,2.919,-0.5014,23.397
-13.068,8.691,3.118,-0.3207,23.497
-12.968,8.692,3.305,-0.18,23.597
-12.868,8.692,3.482,-0.07,23.697
-12.768,8.691,3.65,-0.01,23.797
-12.668,8.69,3.811,0.01,23.897
-12.568,8.689,3.965,0.0,23.997
-12.468,8.688,4.114,0.0,24.097
-12.368,8.688,4.257,0.0,24.197
-12.268,8.687,4.396,0.01,24.297
-12.168,8.686,4.53,0.0,24.397
-12.068,8.685,4.661,0.0,24.497
-11.968,8.684,4.788,0.01,24.597
-11.868,8.684,4.911,0.0,24.697
-11.768,8.683,5.032,-0.0,24.797
-11.668,8.682,5.15,0.0,24.897
-11.568,8.681,5.265,0.01,24.997
-11.468,8.681,5.378,-0.01,25.097
-11.368,8.68,5.488,0.01,25.197
-11.268,8.68,5.597,0.01,25.297
-11.168,8.679,5.703,-0.01,25.397
-11.068,8.678,5.807,0.01,25.497
-10.968,8.678,5.909,0.0,25.597
-10.868,8.677,6.01,-0.0,25.697
-10.768,8.677,6.109,0.01,25.797
-10.668,8.676,6.207,-0.01,25.897
-10.568,8.676,6.303,0.01,25.997
-10.468,8.676,6.397,0.0,26.097
-10.368,8.675,6.49,-0.0,26.197
-10.268,8.675,6.582,0.01,26.297
-10.168,8.674,6.672,0.0,26.397
-10.068,8.674,6.762,-0.0,26.497
-9.968,8.674,6.85,0.0,26.597
-9.868,8.674,6.937,-0.0,26.697
-9.768,8.673,7.023,0.0,26.797
-9.668,8.673,7.108,0.01,26.897
-9.568,8.673,7.192,-0.0,26.997
-9.468,8.673,7.275,0.0,27.097
-9.368,8.672,7.357,0.0,27.197
-9.268,8.672,7.438,-0.0,27.297
-9.168,8.672,7.518,0.01,27.397
-9.068,8.672,7.598,-0.01,27.497
-8.968,8.672,7.676,0.01,27.597
-8.868,8.672,7.754,0.0,27.697
-8.768,8.672,7.831,-0.0,27.797
-8.668,8.671,7.907,0.0,27.897
-8.568,8.671,7.983,0.01,27.997
-8.468,8.671,8.057,-0.01,28.097
-8.368,8.671,8.132,0.01,28.197
-8.268,8.671,8.205,0.0,28.297
-8.168,8.671,8.278,0.0,28.397
-8.068,8.671,8.35,0.0,28.497
-7.968,8.671,8.422,0.0,28.597
-7.868,8.671,8.492,0.0,28.697
-7.768,8.671,8.563,0.0,28.797
-7.668,8.671,8.633,0.01,28.897
-7.568,8.671,8.702,-0.01,28.997
-7.468,8.671,8.771,0.01,29.097
-7.368,8.671,8.839,-0.01,29.197
-7.268,8.671,8.906,0.01,29.297
-7.168,8.672,8.973,0.0,29.397
-7.068,8.672,9.04,0.0,29.497
-6.968,8.672,9.106,-0.0,29.597
-6.868,8.672,9.172,0.0,29.697
-6.768,8.672,9.237,-0.0,29.797
-6.668,8.672,9.302,0.0,29.897
-6.568,8.672,9.366,0.0,29.997
-6.468,8.672,9.43,0.01,30.097
-6.368,8.672,9.493,-0.01,30.197
-6.268,8.672,9.556,-0.0,30.297
-6.168,8.673,9.619,0.01,30.397
-6.068,8.673,9.681,-0.01,30.497
-5.968,8.673,9.743,0.01,30.597
-5.868,8.673,9.804,-0.01,30.697
-5.768,8.673,9.865,0.01,30.797
-5.668,8.673,9.926,-0.01,30.897
-5.568,8.674,9.986,0.01,30.997
-5.468,8.674,10.046,-0.01,31.097
-5.368,8.674,10.106,0.01,31.197
-5.268,8.674,10.165,-0.01,31.297
-5.168,8.674,10.224,0.01,31.397
-5.068,8.674,10.282,-0.01,31.497
-4.968,8.674,10.34,0.01,31.597
-4.868,8.675,10.398,-0.01,31.697
-4.768,8.675,10.456,0.01,31.797
-4.668,8.675,10.513,-0.01,31.897
-4.568,8.675,10.57,-0.0,31.997
-4.468,8.675,10.626,0.01,32.097
-4.368,8.675,10.683,-0.01,32.197
-4.268,8.675,10.739,0.01,32.297
-4.168,8.676,10.795,-0.01,32.397
-4.068,8.676,10.85,-0.0,32.497
-3.968,8.676,10.905,0.0,32.597
-3.868,8.676,10.96,0.01,32.697
-3.768,8.676,11.015,-0.01,32.797
-3.668,8.676,11.069,0.0,32.897
-3.568,8.676,11.123,0.0,32.997
-3.468,8.676,11.177,0.0,33.097
-3.368,8.676,11.23,-0.0,33.197
-3.268,8.677,11.284,0.0,33.297
-3.168,8.677,11.337,0.0,33.397
-3.068,8.677,11.39,0.0,33.497
-2.968,8.677,11.442,0.0,33.597
-2.868,8.677,11.494,-0.0,33.697
-2.768,8.677,11.547,0.0,33.797
-2.668,8.677,11.598,0.0,33.897
-2.568,8.677,11.65,-0.01,33.997
-2.468,8.677,11.701,0.01,34.097
-2.368,8.677,11.753,-0.0,34.197
-2.268,8.678,11.803,-0.01,34.297
-2.168,8.678,11.854,0.01,34.397
-2.068,8.678,11.905,-0.01,34.497
-1.968,8.678,11.907,0.01,34.597
-1.868,8.678,11.857,-0.01,34.697
-1.768,8.678,11.806,0.01,34.797
-1.668,8.678,11.755,-0.01,34.897
-1.568,8.678,11.704,0.01,34.997
-1.468,8.678,11.653,-0.01,35.097
-1.368,8.678,11.601,0.0,35.197
-1.268,8.678,11.549,0.0,35.297
-1.168,8.678,11.497,0.0,35.397
-1.068,8.678,11.445,0.0,35.497
-0.968,8.678,11.392,0.0,35.597
-0.868,8.678,11.34,0.0,35.697
-0.768,8.678,11.286,0.0,35.797
-0.668,8.678,11.233,0.0,35.897
-0.568,8.678,11.18,0.0,35.997
-0.468,8.678,11.126,0.0,36.097
-0.368,8.678,11.072,-0.01,36.197
-0.268,8.678,11.017,0.01,36.297
-0.168,8.678,10.963,0.0,36.397
-0.068,8.678,10.908,-0.01,36.497
0.032,8.678,10.853,0.0,36.597
0.132,8.678,10.797,0.01,36.697
0.232,8.678,10.742,-0.01,36.797
0.332,8.678,10.686,0.0,36.897
0.432,8.677,10.629,0.01,36.997
0.532,8.677,10.573,-0.01,37.097
0.632,8.677,10.516,-0.0,37.197
0.732,8.677,10.459,0.0,37.297
0.832,8.677,10.401,-0.0,37.397
0.932,8.677,10.343,0.0,37.497
1.032,8.677,10.285,-0.01,37.597
1.132,8.677,10.227,0.01,37.697
1.232,8.677,10.168,0.0,37.797
1.332,8.676,10.109,-0.01,37.897
1.432,8.676,10.049,0.01,37.997
1.532,8.676,9.989,-0.01,38.097
1.632,8.676,9.929,0.01,38.197
1.732,8.676,9.868,-0.01,38.297
1.832,8.676,9.807,-0.0,38.397
1.932,8.676,9.746,0.0,38.497
2.032,8.675,9.684,0.01,38.597
2.132,8.675,9.622,-0.01,38.697
2.232,8.675,9.56,-0.01,38.797
2.332,8.675,9.497,0.01,38.897
2.432,8.674,9.433,0.0,38.997
2.532,8.674,9.369,-0.0,39.097
2.632,8.674,9.305,-0.01,39.197
2.732,8.674,9.24,0.01,39.297
2.832,8.674,9.175,-0.01,39.397
2.932,8.673,9.11,0.01,39.497
3.032,8.673,9.043,-0.01,39.597
3.132,8.673,8.977,-0.0,39.697
3.232,8.672,8.91,0.0,39.797
3.332,8.672,8.842,0.0,39.897
3.432,8.672,8.774,-0.0,39.997
3.532,8.672,8.706,0.0,40.097
3.632,8.671,8.636,-0.0,40.197
3.732,8.671,8.567,0.0,40.297
3.832,8.671,8.496,0.0,40.397
3.932,8.67,8.425,-0.0,40.497
4.032,8.67,8.354,0.0,40.597
4.132,8.67,8.282,0.01,40.697
4.232,8.67,8.209,-0.0,40.797
4.332,8.669,8.135,-0.01,40.897
4.432,8.669,8.061,0.01,40.997
4.532,8.669,7.987,0.01,41.097
4.632,8.669,7.911,-0.01,41.197
4.732,8.669,7.835,0.01,41.297
4.832,8.668,7.758,0.01,41.397
4.932,8.668,7.68,-0.01,41.497
5.032,8.668,7.602,0.02,41.597
5.132,8.668,7.522,-0.01,41.697
5.232,8.668,7.442,0.01,41.797
5.332,8.669,7.361,0.01,41.897
5.432,8.669,7.279,0.0,41.997
5.532,8.669,7.196,-0.0,42.097
5.632,8.669,7.112,0.01,42.197
5.732,8.67,7.028,0.01,42.297
5.832,8.67,6.942,-0.0,42.397
5.932,8.67,6.855,0.01,42.497
6.032,8.671,6.767,0.01,42.597
6.132,8.671,6.677,-0.0,42.697
6.232,8.672,6.587,0.01,42.797
6.332,8.673,6.495,0.01,42.897
6.432,8.674,6.402,0.01,42.997
6.532,8.674,6.308,0.0,43.097
6.632,8.675,6.212,0.02,43.197
6.732,8.676,6.114,0.0,43.297
6.832,8.678,6.015,0.01,43.397
6.932,8.679,5.915,0.01,43.497
7.032,8.68,5.813,0.0,43.597
7.132,8.681,5.708,0.02,43.697
7.232,8.683,5.602,0.01,43.797
7.332,8.684,5.494,0.0,43.897
7.432,8.686,5.384,0.0102,43.997
7.532,8.688,5.271,-0.0202,44.097
7.632,8.689,5.156,0.0,44.197
7.732,8.691,5.038,-0.02,44.297
7.832,8.692,4.918,-0.03,44.397
7.932,8.693,4.794,-0.02,44.497
8.032,8.694,4.667,-0.05,44.597
8.132,8.694,4.537,-0.03,44.697
8.232,8.694,4.403,-0.06,44.797
8.332,8.694,4.264,-0.06,44.897
8.432,8.692,4.121,-0.06,44.997
8.532,8.69,3.973,-0.0802,45.097
8.632,8.688,3.819,-0.0697,45.197
8.732,8.685,3.659,-0.1003,45.297
8.832,8.68,3.491,-0.0999,45.397
8.932,8.675,3.314,-0.1011,45.497
9.031,8.669,3.128,-0.129,45.597
9.131,8.661,2.93,-0.1211,45.697
9.231,8.652,2.718,-0.1712,45.797
9.33,8.642,2.487,-0.4742,45.897
9.429,8.627,2.233,-1.0736,45.997
9.525,8.601,1.946,-2.0552,46.097
9.614,8.556,1.61,-3.4071,46.197
9.683,8.484,1.577,-3.5487,46.296
9.723,8.393,1.919,-2.1441,46.396
9.742,8.295,2.21,-1.1132,46.496
9.751,8.196,2.466,-0.5914,46.596
9.753,8.095,2.699,-0.2799,46.696
9.753,7.996,2.912,-0.13,46.796
9.751,7.896,3.112,-0.1099,46.896
9.749,7.796,3.299,-0.0803,46.996
9.745,7.696,3.476,-0.08,47.096
9.741,7.596,3.645,-0.0499,47.196
9.736,7.496,3.806,-0.0505,47.296
9.731,7.396,3.96,-0.0294,47.395
9.725,7.296,4.109,-0.0006,47.496
9.72,7.196,4.252,0.0105,47.596
9.714,7.096,4.391,0.0394,47.696
9.709,6.997,4.526,0.0305,47.795
9.704,6.897,4.656,0.04,47.896
9.7,6.797,4.784,0.0404,47.996
9.696,6.697,4.907,0.0296,48.096
9.692,6.597,5.028,0.04,48.196
9.689,6.497,5.146,0.0403,48.296
9.686,6.397,5.261,0.02,48.396
9.683,6.297,5.374,0.0297,48.496
9.681,6.197,5.485,0.0402,48.596
9.679,6.097,5.593,0.01,48.696
9.677,5.997,5.699,0.04,48.796
9.675,5.897,5.804,0.02,48.896
9.674,5.797,5.906,0.02,48.996
9.673,5.697,6.007,0.02,49.096
9.672,5.597,6.106,0.02,49.196
9.671,5.497,6.203,0.02,49.296
9.671,5.397,6.299,0.02,49.396
9.67,5.297,6.394,0.01,49.496
9.67,5.197,6.487,0.01,49.596
9.67,5.097,6.579,0.02,49.696
9.67,4.997,6.67,0.01,49.796
9.67,4.897,6.759,0.01,49.896
9.671,4.797,6.847,0.01,49.996
9.671,4.697,6.934,0.01,50.095
9.672,4.597,7.02,0.0,50.195
9.672,4.497,7.105,-0.0,50.295
9.673,4.397,7.189,0.01,50.395
9.673,4.297,7.272,0.0,50.495
9.674,4.197,7.268,0.0,50.595
9.674,4.097,7.185,-0.0,50.695
9.675,3.997,7.101,0.0,50.796
9.676,3.897,7.016,-0.01,50.896
9.676,3.797,6.93,0.0,50.996
9.677,3.697,6.843,-0.01,51.096
9.677,3.597,6.754,0.0,51.196
9.678,3.497,6.665,-0.02,51.296
9.678,3.397,6.574,-0.01,51.396
9.678,3.297,6.482,-0.01,51.496
9.678,3.197,6.389,-0.01,51.596
9.678,3.097,6.295,-0.02,51.696
9.677,2.997,6.198,-0.02,51.796
9.677,2.897,6.101,-0.01,51.896
9.676,2.797,6.002,0.0,51.996
9.676,2.697,5.901,-0.0,52.096
9.675,2.597,5.798,0.0,52.196
9.674,2.497,5.694,0.01,52.296
9.674,2.397,5.588,0.03,52.396
9.674,2.297,5.479,0.01,52.496
9.674,2.197,5.369,0.04,52.596
9.674,2.097,5.256,0.04,52.696
9.675,1.997,5.14,0.04,52.796
9.676,1.897,5.022,0.05,52.896
9.677,1.797,4.901,0.05,52.996
9.68,1.697,4.777,0.0502,53.096
9.682,1.597,4.65,0.0697,53.195
9.685,1.497,4.519,0.0703,53.296
9.689,1.397,4.384,0.0699,53.396
9.694,1.298,4.245,0.0699,53.496
9.7,1.198,4.101,0.0804,53.596
9.706,1.098,3.952,0.0805,53.696
9.713,0.998,3.797,0.0798,53.796
9.72,0.898,3.636,0.0399,53.896
9.729,0.799,3.467,-0.0698,53.996
9.736,0.699,3.289,-0.1504,54.096
9.742,0.599,3.102,-0.2905,54.196
9.745,0.499,2.902,-0.4401,54.296
9.744,0.399,2.687,-0.6607,54.395
9.736,0.3,2.454,-1.042,54.495
9.718,0.201,2.196,-1.5787,54.595
9.684,0.107,1.904,-2.4359,54.695
9.63,0.024,1.719,-2.9883,54.795
9.552,-0.039,1.897,-2.4526,54.894
9.462,-0.082,2.19,-1.6541,54.994
9.366,-0.109,2.449,-1.1099,55.094
9.268,-0.126,2.683,-0.7169,55.194
9.168,-0.135,2.898,-0.5007,55.294
9.068,-0.139,3.098,-0.2901,55.394
8.968,-0.141,3.286,-0.19,55.494
8.868,-0.14,3.464,-0.06,55.594
8.768,-0.139,3.633,0.0,55.694
8.668,-0.138,3.794,-0.0001,55.794
8.568,-0.137,3.949,0.0101,55.894
8.468,-0.136,4.098,-0.01,55.994
8.368,-0.136,4.242,0.02,56.094
8.268,-0.135,4.381,-0.01,56.194
8.168,-0.134,4.516,0.01,56.294
8.068,-0.133,4.647,-0.0,56.394
7.968,-0.132,4.774,0.01,56.494
7.868,-0.132,4.899,-0.0,56.594
7.768,-0.131,5.02,0.0,56.694
7.668,-0.13,5.138,-0.0,56.794
7.568,-0.129,5.253,0.01,56.894
7.468,-0.129,5.366,0.0,56.994
7.368,-0.128,5.477,0.01,57.094
7.268,-0.128,5.585,-0.01,57.194
7.168,-0.127,5.692,0.01,57.294
7.068,-0.127,5.796,0.01,57.394
6.968,-0.126,5.899,-0.01,57.494
6.868,-0.126,6.0,0.01,57.594
6.768,-0.125,6.099,0.0,57.694
6.668,-0.125,6.196,0.01,57.794
6.568,-0.125,6.293,-0.01,57.894
6.468,-0.124,6.387,0.01,57.994
6.368,-0.124,6.48,0.0,58.094
6.268,-0.124,6.572,0.0,58.194
6.168,-0.123,6.663,0.01,58.294
6.068,-0.123,6.752,0.0,58.394
5.968,-0.123,6.841,0.0,58.494
5.868,-0.123,6.928,-0.0,58.594
5.768,-0.122,7.014,0.0,58.694
5.668,-0.122,7.099,0.01,58.794
5.568,-0.122,7.183,0.0,58.894
5.468,-0.122,7.266,0.0,58.994
5.368,-0.122,7.348,-0.0,59.094
5.268,-0.122,7.429,0.0,59.194
5.168,-0.122,7.51,0.01,59.294
5.068,-0.122,7.589,0.0,59.394
4.968,-0.122,7.668,-0.01,59.494
4.868,-0.122,7.746,0.01,59.594
4.768,-0.122,7.823,0.01,59.694
4.668,-0.122,7.899,-0.01,59.794
4.568,-0.122,7.975,0.0,59.894
4.468,-0.122,8.05,0.01,59.994
4.368,-0.122,8.124,-0.01,60.094
4.268,-0.122,8.197,0.01,60.194
4.168,-0.122,8.27,0.0,60.294
4.068,-0.122,8.342,-0.0,60.394
3.968,-0.122,8.414,0.0,60.494
3.868,-0.122,8.485,-0.0,60.594
3.768,-0.122,8.555,0.01,60.694
3.668,-0.123,8.625,-0.01,60.794
3.568,-0.123,8.695,0.0,60.894
3.468,-0.123,8.763,0.01,60.994
3.368,-0.123,8.832,-0.01,61.094
3.268,-0.123,8.899,0.01,61.194
3.168,-0.123,8.966,-0.0,61.294
3.068,-0.124,9.033,-0.01,61.394
2.968,-0.124,9.099,0.01,61.494
2.868,-0.124,9.165,0.0,61.594
2.768,-0.124,9.23,-0.01,61.694
2.668,-0.124,9.295,0.01,61.794
2.568,-0.124,9.359,0.0,61.894
2.468,-0.124,9.423,0.0,61.994
2.368,-0.125,9.487,-0.01,62.094
2.268,-0.125,9.55,0.01,62.194
2.168,-0.125,9.612,0.0,62.294
2.068,-0.125,9.675,0.0,62.394
1.968,-0.125,9.736,-0.01,62.494
1.868,-0.126,9.798,0.01,62.594
1.768,-0.126,9.859,-0.01,62.694
1.668,-0.126,9.919,0.01,62.794
1.568,-0.126,9.98,-0.01,62.894
1.468,-0.126,10.04,0.01,62.994
1.368,-0.126,10.099,-0.01,63.094
1.268,-0.126,10.159,-0.0,63.194
1.168,-0.126,10.217,0.01,63.294
1.068,-0.127,10.276,-0.01,63.394
0.968,-0.127,10.334,0.0,63.494
0.868,-0.127,10.392,-0.0,63.594
0.768,-0.127,10.45,-0.0,63.694
