x,y,left_dist,right_dist,Tx,Ty,Nx,Ny,kappa,dkappa,ddkappa,s
-4.0732,-0.1235,0.9,0.85,-1.0,0.000944,-0.000944,-1.0,0.00045428,0.00033974,5.07e-06,4.7
-4.1732,-0.1234,0.9,0.85,-1.0,0.000897,-0.000897,-1.0,0.00048825,0.00034076,4.382e-05,4.8
-4.2732,-0.1233,0.9,0.85,-1.0,0.000846,-0.000846,-1.0,0.00052243,0.0003485,6.608e-05,4.9
-4.3732,-0.1233,0.9,0.85,-1.0,0.000792,-0.000792,-1.0,0.00055795,0.00035397,-4.18e-05,5.0
-4.4732,-0.1232,0.9,0.85,-1.0,0.000735,-0.000735,-1.0,0.00059322,0.00034014,-0.00013102,5.1
-4.5732,-0.1231,0.9,0.85,-1.0,0.000674,-0.000674,-1.0,0.00062598,0.00032777,-3.11e-05,5.2
-4.6732,-0.1231,0.9,0.85,-1.0,0.00061,-0.00061,-1.0,0.00065878,0.00033392,6.042e-05,5.3
-4.7732,-0.123,0.9,0.85,-1.0,0.000542,-0.000542,-1.0,0.00069276,0.00033986,2.991e-05,5.4
-4.8732,-0.1229,0.9,0.85,-1.0,0.000471,-0.000471,-1.0,0.00072675,0.0003399,4.8e-07,5.5
-4.9732,-0.1229,0.9,0.85,-1.0,0.000397,-0.000397,-1.0,0.00076074,0.00033995,5.5e-07,5.6
-5.0732,-0.1229,0.9,0.85,-1.0,0.000319,-0.000319,-1.0,0.00079474,0.00034001,6.2e-07,5.7
-5.1732,-0.1228,0.9,0.85,-1.0,0.000238,-0.000238,-1.0,0.00082874,0.00034008,3.172e-05,5.8
-5.2732,-0.1228,0.9,0.85,-1.0,0.000153,-0.000153,-1.0,0.00086276,0.00034635,9.426e-05,5.9
-5.3732,-0.1228,0.9,0.85,-1.0,6.5e-05,-6.5e-05,-1.0,0.00089802,0.00035893,3.676e-05,6.0
-5.4732,-0.1228,0.9,0.85,-1.0,-2.6e-05,2.6e-05,-1.0,0.00093454,0.00035371,-0.00014241,6.1
-5.5732,-0.1228,0.9,0.85,-1.0,-0.000122,0.000122,-1.0,0.00096876,0.00033045,-0.00014764,6.2
-5.6732,-0.1228,0.9,0.85,-1.0,-0.00022,0.00022,-1.0,0.00100063,0.00032418,2.351e-05,6.3
-5.7732,-0.1229,0.9,0.85,-1.0,-0.000322,0.000322,-1.0,0.00103359,0.00033515,8.277e-05,6.4
-5.8732,-0.1229,0.9,0.85,-1.0,-0.000427,0.000427,-1.0,0.00106766,0.00034073,2.852e-05,6.5
-5.9732,-0.1229,0.9,0.85,-1.0,-0.000535,0.000535,-1.0,0.00110174,0.00034085,1.23e-06,6.6
-6.0732,-0.123,0.9,0.85,-1.0,-0.000647,0.000647,-1.0,0.00113583,0.00034098,1.3e-06,6.7
-6.1732,-0.1231,0.9,0.85,-1.0,-0.000763,0.000763,-1.0,0.00116994,0.00034111,1.37e-06,6.8
-6.2732,-0.1232,0.9,0.85,-1.0,-0.000881,0.000881,-1.0,0.00120405,0.00034125,7.885e-05,6.9
-6.3732,-0.1232,0.9,0.85,-0.999999,-0.001003,0.001003,-0.999999,0.00123819,0.00035688,0.00016597,7.0
-6.4732,-0.1234,0.9,0.85,-0.999999,-0.001129,0.001129,-0.999999,0.00127543,0.00037445,-5.234e-05,7.1
-6.5732,-0.1235,0.9,0.85,-0.999999,-0.001258,0.001258,-0.999999,0.00131308,0.00034642,-0.00030503,7.2
-6.6732,-0.1236,0.9,0.85,-0.999999,-0.001392,0.001392,-0.999999,0.00134471,0.00031344,-0.00010584,7.3
-6.7732,-0.1238,0.9,0.85,-0.999999,-0.001527,0.001527,-0.999999,0.00137576,0.00032525,0.00013862,7.4
-6.8732,-0.1239,0.9,0.85,-0.999999,-0.001667,0.001667,-0.999999,0.00140976,0.00034117,8.599e-05,7.5
-6.9732,-0.1241,0.9,0.85,-0.999998,-0.001809,0.001809,-0.999998,0.001444,0.00034245,7.37e-06,7.6
-7.0732,-0.1243,0.9,0.85,-0.999998,-0.001955,0.001955,-0.999998,0.00147825,0.00034264,-3.464e-05,7.7
-7.1732,-0.1245,0.9,0.85,-0.999998,-0.002105,0.002105,-0.999998,0.00151253,0.00033552,-0.00106164,7.8
-7.2732,-0.1247,0.9,0.85,-0.999997,-0.002258,0.002258,-0.999997,0.00154536,0.00013031,-0.00491382,7.9
-7.3732,-0.1249,0.9,0.85,-0.999997,-0.002414,0.002414,-0.999997,0.00153859,-0.00064724,-0.0098733,8.0
-7.4732,-0.1252,0.9,0.85,-0.999997,-0.002566,0.002566,-0.999997,0.00141591,-0.00184435,-0.01035235,8.1
-7.5732,-0.1254,0.9,0.85,-0.999996,-0.002697,0.002697,-0.999996,0.00116972,-0.00271771,-0.00576244,8.2
-7.6732,-0.1257,0.9,0.85,-0.999996,-0.0028,0.0028,-0.999996,0.00087236,-0.00299683,-0.00145433,8.3
-7.7732,-0.126,0.9,0.85,-0.999996,-0.002872,0.002872,-0.999996,0.00057035,-0.00300858,3.493e-05,8.4
-7.8732,-0.1263,0.9,0.85,-0.999996,-0.002914,0.002914,-0.999996,0.00027065,-0.00298985,0.00012466,8.5
-7.9732,-0.1266,0.9,0.85,-0.999996,-0.002926,0.002926,-0.999996,-2.762e-05,-0.00298365,2.02e-05,8.6
-8.0732,-0.1269,0.9,0.85,-0.999996,-0.002908,0.002908,-0.999996,-0.00032608,-0.00298581,-2.339e-05,8.7
-8.1732,-0.1272,0.9,0.85,-0.999996,-0.002861,0.002861,-0.999996,-0.00062478,-0.00298833,-2.694e-05,8.8
-8.2732,-0.1274,0.9,0.85,-0.999996,-0.002783,0.002783,-0.999996,-0.00092375,-0.0029912,-6.522e-05,8.9
-8.3732,-0.1277,0.9,0.85,-0.999996,-0.002676,0.002676,-0.999996,-0.00122302,-0.00300137,-0.00023226,9.0
-8.4732,-0.128,0.9,0.85,-0.999997,-0.002539,0.002539,-0.999997,-0.00152402,-0.00303765,-0.00029988,9.1
-8.5732,-0.1282,0.9,0.85,-0.999997,-0.002371,0.002371,-0.999997,-0.00183055,-0.00306134,0.00010764,9.2
-8.6732,-0.1285,0.9,0.85,-0.999998,-0.002173,0.002173,-0.999998,-0.00213629,-0.00301612,0.00042414,9.3
-8.7732,-0.1287,0.9,0.85,-0.999998,-0.001944,0.001944,-0.999998,-0.00243377,-0.00297652,8.675e-05,9.4
-8.8732,-0.1288,0.9,0.85,-0.999999,-0.001686,0.001686,-0.999999,-0.00273159,-0.00299877,-0.00022821,9.5
-8.9732,-0.129,0.9,0.85,-0.999999,-0.001398,0.001398,-0.999999,-0.00303353,-0.00302216,-0.00014585,9.6
-9.0732,-0.1291,0.9,0.85,-0.999999,-0.001079,0.001079,-0.999999,-0.00333602,-0.00302794,-5.966e-05,9.7
-9.1732,-0.1292,0.9,0.85,-1.0,-0.00073,0.00073,-1.0,-0.00363912,-0.00303409,-6.325e-05,9.8
-9.2732,-0.1293,0.9,0.85,-1.0,-0.000351,0.000351,-1.0,-0.00394284,-0.00304059,-0.00030247,9.9
-9.3732,-0.1293,0.9,0.85,-1.0,5.8e-05,-5.8e-05,-1.0,-0.00424723,-0.00309458,-0.00070645,10.0
-9.4732,-0.1293,0.9,0.85,-1.0,0.000498,-0.000498,-1.0,-0.00456176,-0.00318188,-0.00021366,10.1
-9.5732,-0.1292,0.9,0.85,-1.0,0.000971,-0.000971,-1.0,-0.00488361,-0.00313732,0.00089161,10.2
-9.6732,-0.1291,0.9,0.85,-0.999999,0.001475,-0.001475,-0.999999,-0.00518922,-0.00300356,0.00071866,10.3
-9.7732,-0.1289,0.9,0.85,-0.999998,0.002008,-0.002008,-0.999998,-0.00548432,-0.00299358,-0.00030494,10.4
-9.8732,-0.1287,0.9,0.85,-0.999997,0.002572,-0.002572,-0.999997,-0.00578794,-0.00306455,-0.00052003,10.5
-9.9732,-0.1284,0.9,0.85,-0.999995,0.003166,-0.003166,-0.999995,-0.00609723,-0.00309759,-0.00021239,10.6
-10.0732,-0.128,0.9,0.85,-0.999993,0.003791,-0.003791,-0.999993,-0.00640746,-0.00310703,-9.617e-05,10.7
-10.1732,-0.1276,0.9,0.85,-0.99999,0.004447,-0.004447,-0.99999,-0.00671864,-0.00311682,-0.00060425,10.8
-10.2732,-0.1271,0.9,0.85,-0.999987,0.005135,-0.005135,-0.999987,-0.00703082,-0.00322788,-0.00126795,10.9
-10.3732,-0.1266,0.9,0.85,-0.999983,0.005854,-0.005854,-0.999983,-0.00736421,-0.00337041,3.211e-05,11.0
-10.4732,-0.126,0.9,0.85,-0.999978,0.006608,-0.006608,-0.999978,-0.0077049,-0.00322145,0.00189934,11.1
-10.5732,-0.1253,0.9,0.85,-0.999973,0.007395,-0.007395,-0.999973,-0.00800851,-0.00299055,0.00089997,11.2
-10.6732,-0.1245,0.9,0.85,-0.999966,0.008209,-0.008209,-0.999966,-0.00830301,-0.00304146,-0.0008695,11.3
-10.7732,-0.1236,0.9,0.85,-0.999959,0.009055,-0.009055,-0.999959,-0.0086168,-0.00316444,-0.00077919,11.4
-10.8732,-0.1227,0.9,0.85,-0.999951,0.009933,-0.009933,-0.999951,-0.0089359,-0.0031973,-0.00022782,11.5
-10.9732,-0.1216,0.9,0.85,-0.999941,0.010842,-0.010842,-0.999941,-0.00925626,-0.00321001,-0.00083903,11.6
-11.0732,-0.1205,0.9,0.85,-0.999931,0.011784,-0.011784,-0.999931,-0.0095779,-0.00336511,0.00269401,11.7
-11.1731,-0.1193,0.9,0.85,-0.999919,0.012758,-0.012758,-0.999919,-0.00992928,-0.00267121,0.07854962,11.8
-11.2731,-0.118,0.9,0.85,-0.999905,0.01377,-0.01377,-0.999905,-0.01011214,0.01234482,0.31983234,11.9
-11.3731,-0.1165,0.9,0.85,-0.999891,0.01478,-0.01478,-0.999891,-0.00746031,0.06129526,0.57392125,12.0
-11.4731,-0.115,0.9,0.85,-0.999884,0.015261,-0.015261,-0.999884,0.00214691,0.12712907,0.52786235,12.1
-11.5731,-0.1135,0.9,0.85,-0.999897,0.014351,-0.014351,-0.999897,0.0179655,0.16686773,0.22954576,12.2
-11.6731,-0.1121,0.9,0.85,-0.999932,0.011669,-0.011669,-0.999932,0.03552046,0.17303822,-0.00191042,12.3
-11.7731,-0.1111,0.9,0.85,-0.999974,0.007247,-0.007247,-0.999974,0.05257314,0.16648565,-0.07876946,12.4
