x,y,v,kappa,s
-6.431,25.363,3.044,-0.5112,27.1608
-6.283,25.229,2.769,1.1516,27.3608
-6.109,25.132,3.17,0.6653,27.5596
-5.924,25.058,3.116,-0.0068,27.7592
-5.738,24.985,2.849,-0.1676,27.9587
-5.557,24.905,2.555,1.3528,28.1572
-5.359,24.876,2.988,-0.798,28.3572
-5.168,24.815,3.365,0.1344,28.557
-4.976,24.76,3.704,0.609,28.757
-4.78,24.729,3.614,0.382,28.9558
-4.581,24.713,3.386,-0.6322,29.1554
-4.385,24.672,3.141,0.895,29.3554
-4.185,24.666,3.502,0.3376,29.5553
-3.985,24.673,3.829,0.0169,29.7551
-3.786,24.681,3.956,0.2102,29.9551
-3.587,24.698,3.749,0.6281,30.1544
-3.391,24.739,4.056,0.4414,30.3543
-3.2,24.798,3.862,-0.0458,30.5543
-3.008,24.854,3.649,0.2514,30.7543
-2.82,24.92,3.423,0.3518,30.9542
-2.636,24.999,3.181,0.5986,31.154
-2.464,25.099,2.921,1.0349,31.3526
-2.316,25.233,3.306,0.2312,31.5526
-2.173,25.373,3.558,0.6973,31.7526
-2.052,25.531,3.484,-0.1043,31.9516
-1.927,25.686,3.248,-0.5024,32.1505
-1.787,25.828,2.992,0.9862,32.35
-1.678,25.995,2.984,-0.9919,32.55
-1.538,26.138,3.361,0.4886,32.7495
-1.413,26.292,3.699,0.3235,32.9483
-1.298,26.455,4.009,-0.3676,33.148
-1.17,26.61,3.95,-0.1795,33.348
-1.038,26.759,3.742,0.6019,33.548
-0.924,26.924,3.523,-0.4818,33.7476
-0.796,27.075,3.289,-0.2503,33.9463
-0.661,27.221,3.038,0.8978,34.1453
-0.552,27.389,2.762,-1.1576,34.3453
-0.408,27.528,3.167,0.7402,34.5453
-0.287,27.686,3.523,-0.1267,34.7443
-0.162,27.841,3.355,-0.4115,34.9433
-0.025,27.985,3.108,0.914,35.1427
0.085,28.153,2.982,-0.993,35.3427
0.225,28.295,3.359,0.5193,35.5424
0.349,28.45,3.554,0.0423,35.7413
0.472,28.607,3.323,-0.6295,35.9403
0.614,28.747,3.073,0.9349,36.1402
0.728,28.912,3.441,0.0553,36.3402
0.84,29.078,3.623,-0.0097,36.5402
0.952,29.243,3.395,-0.0161,36.7402
1.065,29.408,3.151,0.1194,36.9402
1.173,29.576,2.887,1.0595,37.1397
1.245,29.763,3.276,-0.3064,37.3397
1.327,29.945,3.624,0.543,37.5396
1.39,30.134,3.435,0.1765,37.739
1.446,30.326,3.194,0.2197,37.939
1.493,30.519,2.935,1.0249,38.1376
1.5,30.719,3.319,-0.7726,38.3376
1.538,30.915,3.57,-0.3265,38.5375
1.589,31.108,3.339,0.5792,38.7374
1.617,31.305,3.092,0.9232,38.9355
1.608,31.504,2.973,0.9991,39.1346
1.561,31.698,2.886,-1.0601,39.3346
1.555,31.898,3.14,0.8953,39.5345
1.515,32.092,3.349,-0.2361,39.7328
1.483,32.287,3.104,-0.6317,39.9306
1.477,32.486,2.836,1.0978,40.1298
1.427,32.68,3.231,0.1289,40.3298
1.372,32.872,3.584,0.023,40.5298
1.317,33.064,3.904,0.4445,40.7298
1.244,33.25,4.199,0.4415,40.929
1.156,33.43,4.28,-0.0379,41.129
1.069,33.61,4.088,0.0416,41.329
0.98,33.789,3.888,0.5841,41.529
0.872,33.956,4.185,-0.294,41.7288
0.773,34.13,4.212,0.0151,41.9284
0.674,34.303,4.018,0.2524,42.128
0.566,34.471,3.814,-0.607,42.3277
0.479,34.652,3.703,0.6439,42.5277
0.37,34.819,4.014,-0.4988,42.7277
0.278,34.996,4.302,0.2132,42.9272
0.179,35.169,4.533,0.34,43.1266
0.068,35.336,4.353,-0.1354,43.3266
-0.038,35.505,4.165,-0.4787,43.5265
-0.128,35.684,3.968,0.5607,43.7265
-0.237,35.851,4.259,-0.0959,43.9263
-0.343,36.021,4.532,-0.1763,44.1262
-0.443,36.194,4.501,0.0028,44.3262
-0.543,36.367,4.32,0.3758,44.5261
-0.655,36.532,4.13,-0.5175,44.7261
-0.75,36.708,4.411,0.1843,44.926
-0.852,36.88,4.377,0.2076,45.1259
-0.96,37.048,4.19,-0.0654,45.3259
-1.067,37.217,3.995,-0.5275,45.5254
-1.155,37.397,3.79,0.6147,45.7254
-1.264,37.564,4.094,0.061,45.9254
-1.375,37.73,4.377,-0.4411,46.1254
-1.471,37.905,4.433,-0.0421,46.3248
-1.566,38.081,4.25,0.4889,46.5242
-1.677,38.247,4.131,-0.0721,46.7242
-1.786,38.414,3.933,-0.5708,46.9242
-1.876,38.593,4.227,0.4374,47.1241
-1.98,38.763,4.501,-0.0661,47.3236
