x,y,v,kappa
-0.552,27.389,0.602,-0.1685
-0.408,27.528,0.514,0.0502
-0.287,27.686,0.432,0.0188
-0.162,27.841,0.601,-0.0093
-0.025,27.985,0.516,0.1059
0.085,28.153,0.464,-0.1377
0.225,28.295,0.537,0.0226
0.349,28.45,0.481,-0.0064
0.472,28.607,0.474,-0.0705
0.614,28.747,0.494,0.3239
0.728,28.912,0.446,0.2555
0.84,29.078,0.485,0.0049
0.952,29.243,0.535,0.0192
1.065,29.408,0.393,0.3163
1.173,29.576,0.58,0.4827
1.245,29.763,0.38,0.2424
1.327,29.945,0.565,0.2389
1.39,30.134,0.424,0.2779
1.446,30.326,0.57,0.4068
1.493,30.519,0.371,0.3734
1.5,30.719,0.609,-0.2145
1.538,30.915,0.368,-0.2116
1.589,31.108,0.554,0.4342
1.617,31.305,0.414,0.8561
1.608,31.504,0.58,0.4576
1.561,31.698,0.385,-0.0581
1.555,31.898,0.576,0.1223
1.515,32.092,0.511,-0.0517
1.483,32.287,0.429,-0.0997
1.477,32.486,0.607,0.4237
1.427,32.68,0.401,0.3378
1.372,32.872,0.541,0.1538
1.317,33.064,0.445,0.3384
1.244,33.25,0.557,0.3224
1.156,33.43,0.398,0.1009
1.069,33.61,0.574,0.1563
0.98,33.789,0.373,0.2289
0.872,33.956,0.545,0.0027
0.773,34.13,0.425,-0.0029
0.674,34.303,0.522,-0.0216
0.566,34.471,0.6,-0.0793
0.479,34.652,0.43,0.0456
0.37,34.819,0.497,-0.0351
0.278,34.996,0.538,0.067
0.179,35.169,0.391,0.1892
0.068,35.336,0.559,-0.1024
-0.038,35.505,0.384,-0.1333
-0.128,35.684,0.549,0.1365
-0.237,35.851,0.478,0.0477
-0.343,36.021,0.517,-0.1114
-0.443,36.194,0.512,0.0511
-0.543,36.367,0.557,0.0594
-0.655,36.532,0.471,-0.1186
-0.75,36.708,0.526,0.0149
-0.852,36.88,0.611,0.1335
-0.96,37.048,0.386,-0.1121
-1.067,37.217,0.603,-0.1264
-1.155,37.397,0.372,0.1909
-1.264,37.564,0.606,0.0736
-1.375,37.73,0.42,-0.2158
-1.471,37.905,0.539,-0.0092
-1.566,38.081,0.561,0.2158
-1.677,38.247,0.381,-0.0565
-1.786,38.414,0.573,-0.1942
-1.876,38.593,0.391,0.0594
-1.98,38.763,0.546,0.029
-2.082,38.935,0.392,0.0095
-2.178,39.11,0.562,0.0544
-2.29,39.276,0.409,-0.0908
-2.383,39.453,0.5,0.0456
-2.486,39.624,0.577,0.1305
-2.595,39.792,0.378,-0.1296
-2.699,39.962,0.6,-0.1063
-2.788,40.141,0.379,0.0522
-2.898,40.308,0.586,-0.0285
-2.989,40.486,0.376,0.075
-3.092,40.657,0.58,0.1178
-3.201,40.825,0.388,-0.1106
-3.304,40.996,0.632,-0.143
-3.397,41.173,0.404,0.0293
-3.495,41.347,0.523,0.0366
-3.597,41.52,0.525,-0.0614
-3.692,41.695,0.423,0.0737
-3.789,41.87,0.477,0.2214
-3.899,42.037,0.524,-0.0348
-4.011,42.203,0.409,-0.2351
-4.1,42.381,0.549,-0.0192
-4.2,42.554,0.505,0.039
-4.3,42.728,0.412,0.0649
-4.395,42.903,0.576,0.0566
-4.508,43.069,0.411,-0.0719
-4.598,43.247,0.567,0.0308
-4.706,43.415,0.392,-0.0251
-4.805,43.588,0.568,-0.0512
-4.9,43.764,0.5,-0.0244
-5.005,43.934,0.42,-0.0332
-5.092,44.114,0.533,0.0991
-5.201,44.282,0.402,-0.0003
-5.297,44.457,0.546,0.0317
-5.396,44.63,0.372,0.107
-5.506,44.797,0.549,-0.0708
-5.606,44.97,0.391,-0.1271
-5.706,45.143,0.558,-0.0404
-5.799,45.32,0.472,0.129
-5.9,45.493,0.544,0.1853
-6.01,45.66,0.435,-0.1006
-6.12,45.827,0.549,-0.2011
-6.206,46.007,0.516,0.0277
-6.311,46.177,0.478,0.0145
-6.406,46.353,0.534,0.0695
-6.505,46.526,0.482,0.1453
-6.616,46.692,0.494,-0.0835
-6.719,46.863,0.399,-0.075
-6.815,47.039,0.565,0.0759
-6.923,47.207,0.379,-0.0456
-7.023,47.38,0.56,-0.0154
-7.12,47.554,0.379,-0.0107
-7.23,47.721,0.563,-0.0983
-7.316,47.902,0.378,0.1604
-7.423,48.07,0.56,0.1315
-7.534,48.237,0.387,-0.1964
-7.634,48.409,0.539,-0.0638
-7.724,48.587,0.482,0.2165
-7.836,48.753,0.541,-0.0043
-7.945,48.921,0.435,-0.1867
-8.039,49.097,0.547,0.0659
-8.14,49.269,0.508,0.1257
-8.25,49.436,0.477,-0.0961
-8.352,49.608,0.522,-0.0469
-8.448,49.784,0.518,0.1045
-8.558,49.951,0.424,-0.0384
-8.66,50.122,0.636,-0.0665
-8.758,50.296,0.37,0.1233
-8.863,50.467,0.584,-0.0036
-8.976,50.632,0.389,-0.1802
-9.066,50.81,0.536,0.077
-9.169,50.982,0.392,0.1634
-9.279,51.148,0.53,-0.1589
-9.384,51.318,0.422,-0.1276
-9.47,51.499,0.502,0.2213
-9.581,51.665,0.524,0.0606
-9.691,51.832,0.437,-0.2156
-9.787,52.007,0.522,-0.0094
-9.883,52.181,0.487,0.05
-9.992,52.349,0.414,-0.0295
-10.082,52.528,0.561,0.089
-10.193,52.694,0.399,-0.0122
-10.293,52.867,0.532,-0.0465
-10.392,53.041,0.391,0.1375
-10.498,53.21,0.548,-0.0314
-10.61,53.376,0.391,-0.1855
-10.698,53.555,0.55,0.1086
-10.803,53.726,0.382,0.1505
-10.913,53.892,0.562,-0.1764
-11.016,54.063,0.385,-0.1054
-11.104,54.242,0.545,0.0718
-11.214,54.409,0.477,-0.029
-11.304,54.588,0.436,0.0874
-11.409,54.757,0.536,0.0983
-11.517,54.926,0.485,-0.1158
-11.618,55.098,0.438,0.0003
-11.714,55.274,0.484,0.0764
-11.826,55.439,0.542,-0.081
-11.921,55.615,0.41,-0.0121
-12.024,55.786,0.543,-0.0416
-12.127,55.957,0.484,-0.0551
-12.215,56.136,0.404,0.0536
-12.325,56.303,0.56,-0.0315
-12.414,56.482,0.382,0.1077
-12.518,56.652,0.557,0.1347
