x,y,v,kappa,s
-5.359,24.876,3.007,-0.793,28.357
-5.168,24.815,3.382,0.1343,28.557
-4.976,24.76,3.72,0.6068,28.757
-4.78,24.729,3.839,0.3815,28.956
-4.581,24.713,3.513,-0.6297,29.155
-4.385,24.672,3.153,0.888,29.355
-4.185,24.666,3.513,0.3373,29.555
-3.985,24.673,3.839,0.0169,29.755
-3.786,24.681,4.062,0.2101,29.955
-3.587,24.698,3.756,0.6257,30.154
-3.391,24.739,4.063,0.4406,30.354
-3.2,24.798,4.266,-0.0458,30.554
-3.008,24.854,3.975,0.2513,30.754
-2.82,24.92,3.661,0.3513,30.954
-2.636,24.999,3.317,0.5965,31.154
-2.464,25.099,2.936,1.0241,31.353
-2.316,25.233,3.32,0.2311,31.553
-2.173,25.373,3.567,0.6939,31.753
-2.052,25.531,3.717,-0.1043,31.952
-1.927,25.686,3.381,-0.5011,32.151
-1.787,25.828,3.006,0.9768,32.35
-1.678,25.995,2.998,-0.9823,32.55
-1.538,26.138,3.374,0.4875,32.75
-1.413,26.292,3.71,0.3231,32.948
-1.298,26.455,4.02,-0.3671,33.148
-1.17,26.61,4.138,-0.1795,33.348
-1.038,26.759,3.837,0.5997,33.548
-0.924,26.924,3.832,-0.4807,33.748
-0.796,27.075,3.507,-0.2501,33.946
-0.661,27.221,3.148,0.8907,34.145
-0.552,27.389,2.78,-1.1425,34.345
-0.408,27.528,3.182,0.7362,34.545
-0.287,27.686,3.538,-0.1267,34.744
-0.162,27.841,3.483,-0.4108,34.943
-0.025,27.985,3.121,0.9065,35.143
0.085,28.153,2.996,-0.9834,35.343
0.225,28.295,3.372,0.5179,35.542
0.349,28.45,3.71,0.0423,35.741
0.472,28.607,3.453,-0.627,35.94
0.614,28.747,3.086,0.9268,36.14
0.728,28.912,3.453,0.0553,36.34
0.84,29.078,3.785,-0.0097,36.54
0.952,29.243,3.636,-0.0161,36.74
1.065,29.408,3.289,0.1194,36.94
1.173,29.576,2.903,1.0479,37.14
1.245,29.763,3.29,-0.3061,37.34
1.327,29.945,3.637,0.5414,37.54
1.39,30.134,3.672,0.1764,37.739
1.446,30.326,3.33,0.2196,37.939
1.493,30.519,2.95,1.0145,38.138
1.5,30.719,3.332,-0.768,38.338
1.538,30.915,3.674,-0.3262,38.538
1.589,31.108,3.467,0.5773,38.737
1.617,31.305,3.105,0.9156,38.936
1.608,31.504,2.987,0.9894,39.135
1.561,31.698,2.902,-1.0484,39.335
1.555,31.898,3.153,0.8883,39.534
1.515,32.092,3.51,-0.236,39.733
1.483,32.287,3.245,-0.6293,39.931
1.477,32.486,2.853,1.085,40.13
1.427,32.68,3.246,0.1288,40.33
1.372,32.872,3.597,0.023,40.53
1.317,33.064,3.916,0.4436,40.73
1.244,33.25,4.21,0.4407,40.929
1.156,33.43,4.468,-0.0379,41.129
1.069,33.61,4.191,0.0416,41.329
0.98,33.789,3.894,0.5821,41.529
0.872,33.956,4.191,-0.2938,41.729
0.773,34.13,4.403,0.0151,41.928
0.674,34.303,4.123,0.2522,42.128
0.566,34.471,3.821,-0.6048,42.328
0.479,34.652,3.711,0.6412,42.528
0.37,34.819,4.021,-0.4976,42.728
0.278,34.996,4.309,0.2131,42.927
0.179,35.169,4.578,0.3396,43.127
0.068,35.336,4.538,-0.1354,43.327
-0.038,35.505,4.266,-0.4776,43.527
-0.128,35.684,3.974,0.559,43.727
-0.237,35.851,4.265,-0.0959,43.926
-0.343,36.021,4.538,-0.1762,44.126
-0.443,36.194,4.68,0.0028,44.326
-0.543,36.367,4.417,0.3753,44.526
-0.655,36.532,4.136,-0.5161,44.726
-0.75,36.708,4.416,0.1842,44.926
-0.852,36.88,4.645,0.2076,45.126
-0.96,37.048,4.379,-0.0654,45.326
-1.067,37.217,4.097,-0.5261,45.525
-1.155,37.397,3.797,0.6124,45.725
-1.264,37.564,4.101,0.061,45.925
-1.375,37.73,4.384,-0.4403,46.125
-1.471,37.905,4.527,-0.0421,46.325
-1.566,38.081,4.255,0.4877,46.524
-1.677,38.247,4.233,-0.0721,46.724
-1.786,38.414,3.939,-0.569,46.924
-1.876,38.593,4.233,0.4366,47.124
-1.98,38.763,4.507,-0.0661,47.324
-2.082,38.935,4.551,-0.1886,47.523
-2.178,39.11,4.279,0.4805,47.723
-2.29,39.276,3.989,-0.5549,47.923
-2.383,39.453,4.279,0.268,48.123
-2.486,39.624,4.551,0.2013,48.323
-2.595,39.792,4.507,-0.1491,48.523
-2.699,39.962,4.233,-0.4225,48.722
-2.788,40.141,3.94,0.5688,48.922
-2.898,40.308,4.169,-0.5079,49.122
-2.989,40.486,4.448,0.3338,49.322
-3.092,40.657,4.709,0.1404,49.522
-3.201,40.825,4.958,-0.1431,49.722
