timestamp,commanded_speed,actual_speed,erpm,speed_error,steady_state
1758896410.2865756,0.0,0.0,0,0.0,False
1758896410.3063908,0.5,0.0,0,-0.5,False
1758896410.3265266,0.5,0.0,0,-0.5,False
1758896410.346449,0.5,0.0,0,-0.5,False
1758896410.3693337,0.5,0.0,0,-0.5,False
1758896410.3863413,0.5,0.0,0,-0.5,False
1758896410.40768,0.5,0.0,0,-0.5,False
1758896410.4263077,0.5,0.0,0,-0.5,False
1758896410.4462485,0.5,0.0,0,-0.5,False
1758896410.4664023,0.5,0.0,0,-0.5,False
1758896410.4863136,0.5,0.0,0,-0.5,False
1758896410.5072036,0.5,0.0,0,-0.5,False
1758896410.52634,0.5,0.0,0,-0.5,False
1758896410.547645,0.5,0.0,0,-0.5,False
1758896410.5663695,0.5,0.053099263112267016,0,-0.44690073688773296,False
1758896410.58634,0.5,0.05895101863892501,0,-0.441048981361075,False
1758896410.6067119,0.5,0.1928912006935414,0,-0.3071087993064586,False
1758896410.62635,0.5,0.21348071087993065,0,-0.28651928912006935,False
1758896410.6463187,0.5,0.0,0,-0.5,False
1758896410.6662767,0.5,0.0,0,-0.5,False
1758896410.6866872,0.5,0.0,0,-0.5,False
1758896410.7062879,0.5,0.0,0,-0.5,False
1758896410.7262964,0.5,0.0,0,-0.5,False
1758896410.7463026,0.5,0.07390550498482878,0,-0.4260944950151712,False
1758896410.766384,0.5,0.05808409189423494,0,-0.4419159081057651,False
1758896410.7863398,0.5,0.05049848287819679,0,-0.4495015171218032,False
1758896410.8062491,0.5,0.0,0,-0.5,False
1758896410.8263512,0.5,0.054399653229302125,0,-0.4456003467706979,False
1758896410.8463027,0.5,0.06176853055916775,0,-0.43823146944083224,False
1758896410.8663328,0.5,0.06935413957520589,0,-0.43064586042479414,False
1758896410.8862875,0.5,0.07498916341569137,0,-0.4250108365843086,False
1758896410.9062722,0.5,0.28500216731686173,0,-0.21499783268313827,False
1758896410.9263034,0.5,0.3443866493281318,0,-0.1556133506718682,False
1758896410.9462953,0.5,0.341135674035544,0,-0.158864325964456,False
1758896410.9662974,0.5,0.3012570437798006,0,-0.19874295622019938,False
1758896410.986302,0.5,0.31816211530125704,0,-0.18183788469874296,False
1758896411.0062509,0.5,0.4033376679670568,0,-0.09666233203294322,False
1758896411.02636,0.5,0.20784568703944517,0,-0.29215431296055483,False
1758896411.0463102,0.5,0.18747290853922843,0,-0.31252709146077157,False
1758896411.0662696,0.5,0.21976592977893367,0,-0.28023407022106633,False
1758896411.0862954,0.5,0.35999133073255307,0,-0.14000866926744693,False
1758896411.106255,0.5,0.3948851322063286,0,-0.10511486779367141,False
1758896411.1263585,0.5,0.41569137407889034,0,-0.08430862592110966,False
1758896411.1463149,0.5,0.4332466406588643,0,-0.06675335934113569,False
1758896411.166292,0.5,0.47139141742522755,0,-0.028608582574772445,False
1758896411.1866744,0.5,0.511270047680971,0,0.011270047680970952,False
1758896411.2062297,0.5,0.5689206762028609,0,0.06892067620286091,False
1758896411.2270458,0.5,0.5866926744690074,0,0.08669267446900741,False
1758896411.2462144,0.5,0.6142175986129172,0,0.11421759861291725,False
1758896411.2663424,0.5,0.6250541829215431,0,0.12505418292154313,False
1758896411.2862382,0.5,0.635023840485479,0,0.135023840485479,False
1758896411.3066308,0.5,0.6278716948417858,0,0.12787169484178584,False
1758896411.3262553,0.5,0.6458604247941049,0,0.14586042479410488,False
1758896411.3470545,0.5,0.6356740355439965,0,0.13567403554399649,False
1758896411.3662508,0.5,0.6460771564802774,0,0.14607715648027741,False
1758896411.38665,0.5,0.6447767663632423,0,0.14477676636324233,False
1758896411.40658,0.5,0.6447767663632423,0,0.14477676636324233,False
1758896411.4262455,0.5,0.6384915474642393,0,0.1384915474642393,False
1758896411.4464204,0.5,0.6636324230602514,0,0.1636324230602514,False
1758896411.4662435,0.5,0.6185522323363676,0,0.11855223233636758,False
1758896411.4865718,0.5,0.611616818378847,0,0.11161681837884696,False
1758896411.5062108,0.5,0.6114000866926744,0,0.11140008669267443,False
1758896411.5268006,0.5,0.5908105765062852,0,0.09081057650628521,False
1758896411.546334,0.5,0.6161681837884698,0,0.11616818378846983,False
1758896411.5664394,0.5,0.5968790637191157,0,0.0968790637191157,False
1758896411.5863538,0.5,0.6081491114000867,0,0.10814911140008665,False
1758896411.6063287,0.5,0.6087993064586043,0,0.10879930645860425,False
1758896411.6262782,0.5,0.6285218899003034,0,0.12852188990030344,False
1758896411.6467025,0.5,0.6198526224534027,0,0.11985262245340267,False
1758896411.666366,0.5,0.641309059384482,0,0.14130905938448202,False
1758896411.686533,0.5,0.6341569137407889,0,0.13415691374078886,False
1758896411.706233,0.5,0.6430429128738622,0,0.14304291287386217,False
1758896411.7263534,0.5,0.6354573038578241,0,0.13545730385782406,False
1758896411.746309,0.5,0.6400086692674469,0,0.14000866926744693,False
1758896411.7665029,0.5,0.5869094061551798,0,0.08690940615517984,False
1758896411.786275,0.5,0.5860424794104898,0,0.08604247941048981,False
1758896411.806649,0.5,0.5986129172084959,0,0.09861291720849585,False
1758896411.8262584,0.5,0.5754226267880365,0,0.07542262678803646,False
1758896411.847077,0.5,0.5853922843519722,0,0.08539228435197221,False
1758896411.8663042,0.5,0.5745557000433463,0,0.07455570004334633,False
1758896411.8863769,0.5,0.5775899436497616,0,0.07758994364976157,False
1758896411.9062512,0.5,0.6009969657563936,0,0.10099696575639361,False
1758896411.9263928,0.5,0.6085825747724317,0,0.10858257477243172,False
1758896411.9463162,0.5,0.5762895535327265,0,0.07628955353272648,False
