timestamp,commanded_steering,position_x,position_y,heading,speed,arc_complete
1758895897.4558437,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.4741204,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.4946678,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.5142484,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.534137,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.5555255,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.5761116,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.5947585,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.6138778,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.635742,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.6540775,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.675763,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.6937652,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.7157724,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.73605,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.753987,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.775833,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.7939012,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.8138328,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.8342052,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.8540468,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.8741176,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.8996935,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.915706,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.9370277,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.9556406,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.9758646,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895897.99571,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.0156224,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.0355835,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.0540483,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.0759192,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.0939615,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.1160202,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.1355472,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.154007,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.1754577,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.1938806,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.2157822,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.2369008,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.253866,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.2737195,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.2937994,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.3140094,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.3339689,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.3537807,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.3739674,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.3938246,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.4141495,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.4355865,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.454307,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.4738147,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.493963,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.5158453,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.5344453,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.5559368,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.5760245,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.5938928,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
1758895898.614042,-0.4,-5.197133591473144,0.08479254301450229,-3.056592163902812,0.0,False
