x,y,v,kappa
7.1,1.111,4.275,-0.2467
7.1,1.056,4.06,0.3326
7.1,1.001,1.753,-2.8724
7.09,0.95,0.735,-16.3407
7.051,0.911,0.649,20.9582
7.05,0.857,2.056,-2.0878
7.044,0.804,0.727,-16.6962
7.006,0.766,3.717,0.5259
6.967,0.727,0.952,9.7478
6.95,0.679,1.024,8.4242
6.95,0.624,0.745,-15.8913
6.921,0.581,1.413,4.4226
6.9,0.535,0.893,11.0605
6.9,0.48,0.813,-13.3437
6.875,0.435,3.474,-0.2488
6.85,0.391,0.805,13.6176
6.85,0.336,0.902,-10.8477
6.829,0.289,1.435,-4.2861
6.8,0.247,0.925,10.3268
6.787,0.197,0.798,-13.8511
6.748,0.158,3.719,-0.1715
6.709,0.119,0.738,16.2061
6.7,0.068,0.778,-14.585
6.667,0.027,0.95,9.7908
6.65,-0.021,1.314,-5.116
6.625,-0.065,3.63,0.2402
6.6,-0.11,1.381,4.6263
6.582,-0.158,0.974,-9.3121
6.55,-0.199,0.791,14.1196
6.54,-0.25,0.744,-15.9426
6.501,-0.289,3.72,0.243
6.463,-0.327,0.845,12.3596
6.45,-0.377,1.195,6.1876
6.45,-0.432,0.69,-18.527
6.417,-0.473,0.979,9.2174
6.4,-0.521,1.024,8.4193
6.4,-0.576,0.765,-15.1026
6.371,-0.619,1.661,-3.2003
6.332,-0.658,2.007,2.1917
6.3,-0.7,0.843,12.4207
6.29,-0.75,0.753,-15.5621
6.251,-0.789,3.722,0.203
6.212,-0.828,0.837,12.6136
6.2,-0.878,1.225,5.8836
6.2,-0.933,0.708,-17.5956
6.166,-0.974,2.809,-1.1187
6.127,-1.013,1.382,4.6239
6.1,-1.056,1.11,7.1656
6.085,-1.105,0.838,-12.5759
6.046,-1.144,2.883,1.0619
6.007,-1.183,4.638,-0.1216
5.969,-1.221,4.088,0.2733
5.93,-1.26,1.818,-2.6727
5.887,-1.29,0.774,-14.7559
5.832,-1.29,2.778,1.1442
5.777,-1.29,3.227,0.848
5.722,-1.29,0.893,-11.0815
5.677,-1.267,1.967,-2.2818
5.633,-1.24,0.798,13.8812
5.578,-1.24,2.059,-2.0821
5.523,-1.24,0.908,10.7037
5.478,-1.262,1.69,3.0918
5.434,-1.29,0.786,-14.2853
5.379,-1.29,2.717,1.1962
5.324,-1.29,4.513,-0.2072
5.27,-1.29,2.677,1.232
5.215,-1.29,0.773,-14.768
5.172,-1.262,1.505,3.898
5.126,-1.24,0.934,10.1292
5.071,-1.24,3.157,-0.886
5.016,-1.24,4.813,0.0793
4.961,-1.24,6.03,-0.0
4.906,-1.24,7.04,-0.0
4.851,-1.24,7.293,-0.0
4.796,-1.24,6.324,-0.0
4.741,-1.24,5.176,-0.0617
4.686,-1.24,3.687,0.6494
4.631,-1.24,1.119,-7.057
4.583,-1.223,0.978,-9.2288
4.542,-1.19,0.701,17.9431
4.487,-1.19,2.452,-1.4686
4.432,-1.19,4.383,0.0377
4.377,-1.19,3.033,0.9596
4.322,-1.19,0.892,-11.1068
4.277,-1.167,1.986,-2.239
4.233,-1.14,0.801,13.7749
4.178,-1.14,2.761,-1.1584
4.123,-1.14,4.563,0.0994
4.068,-1.14,5.833,0.0
4.014,-1.14,6.872,0.0
3.959,-1.14,6.335,-0.0159
3.904,-1.14,5.19,0.0561
3.849,-1.14,3.649,-0.198
3.796,-1.136,0.677,-19.2865
3.757,-1.097,0.705,17.7405
3.705,-1.09,1.652,3.2348
3.65,-1.09,0.635,-21.8712
3.611,-1.051,0.716,17.2141
3.561,-1.04,0.867,-11.7339
3.519,-1.009,1.956,-2.308
3.48,-0.97,4.151,0.376
3.441,-0.931,2.309,-1.6558
3.402,-0.892,0.661,20.1888
3.349,-0.889,0.661,-20.1888
3.31,-0.85,2.312,1.6522
3.271,-0.811,4.29,-0.3285
3.232,-0.772,2.229,1.7769
